Classroom_ID,Capacity,Room_Type,Facilities,Availability
R001,60,Laboratory,"[""Computers"", ""Projector"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R002,60,Laboratory,"[""Computers"", ""Projector"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R003,80,Lecture Hall,"[""Sound System"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R004,30,Seminar Room,"[""Whiteboard"", ""Projector""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R005,40,Laboratory,"[""Computers"", ""Projector"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R006,150,Lecture Hall,"[""Sound System"", ""Whiteboard"", ""Projector""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R007,40,Laboratory,"[""Computers"", ""Projector"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R008,30,Seminar Room,"[""Smart Board"", ""Projector""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R009,30,Seminar Room,"[""Smart Board"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
R010,80,Lecture Hall,"[""Whiteboard"", ""Projector"", ""Sound System""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025"", ""TS026"", ""TS027"", ""TS028"", ""TS029"", ""TS030""]"
