Classroom_ID,Capacity,Room_Type,Facilities,Availability
R001,30,Seminar Room,"[""Whiteboard"", ""Projector""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025""]"
R002,120,Lecture Hall,"[""Projector"", ""Sound System""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025""]"
R003,60,Lecture Hall,"[""Sound System""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025""]"
R004,30,Laboratory,"[""Computers"", ""Projector"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025""]"
R005,30,Seminar Room,"[""Smart Board""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025""]"
R006,60,Laboratory,"[""Computers"", ""Projector"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025""]"
R007,120,Lecture Hall,"[""Sound System"", ""Whiteboard"", ""Projector""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025""]"
R008,30,Seminar Room,"[""Whiteboard"", ""Smart Board""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025""]"
R009,60,Laboratory,"[""Computers"", ""Projector"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025""]"
R010,30,Laboratory,"[""Computers"", ""Projector"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025""]"
R011,80,Lecture Hall,"[""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025""]"
R012,80,Lecture Hall,"[""Projector"", ""Sound System"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025""]"
R013,30,Seminar Room,"[""Projector""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025""]"
R014,120,Lecture Hall,"[""Sound System""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025""]"
R015,120,Lecture Hall,"[""Whiteboard"", ""Projector"", ""Sound System""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020"", ""TS021"", ""TS022"", ""TS023"", ""TS024"", ""TS025""]"
