Time_Slot_ID,Day,Start_Time,End_Time
TS001,Monday,08:00,09:00
TS002,Monday,09:00,10:00
TS003,Monday,10:00,11:00
TS004,Monday,11:00,12:00
TS005,Monday,13:00,14:00
TS006,Monday,14:00,15:00
TS007,Monday,15:00,16:00
TS008,Monday,16:00,17:00
TS009,Tuesday,08:00,09:00
TS010,Tuesday,09:00,10:00
TS011,Tuesday,10:00,11:00
TS012,Tuesday,11:00,12:00
TS013,Tuesday,13:00,14:00
TS014,Tuesday,14:00,15:00
TS015,Tuesday,15:00,16:00
TS016,Tuesday,16:00,17:00
TS017,Wednesday,08:00,09:00
TS018,Wednesday,09:00,10:00
TS019,Wednesday,10:00,11:00
TS020,Wednesday,11:00,12:00
TS021,Wednesday,13:00,14:00
TS022,Wednesday,14:00,15:00
TS023,Wednesday,15:00,16:00
TS024,Wednesday,16:00,17:00
TS025,Thursday,08:00,09:00
