Classroom_ID,Capacity,Room_Type,Facilities,Availability
R001,60,Lecture Hall,"[""Projector""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020""]"
R002,30,Seminar Room,"[""Smart Board""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020""]"
R003,40,Seminar Room,"[""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020""]"
R004,40,Seminar Room,"[""Projector""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020""]"
R005,40,Seminar Room,"[""Whiteboard"", ""Projector""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020""]"
R006,120,Lecture Hall,"[""Projector""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020""]"
R007,30,Laboratory,"[""Computers"", ""Projector"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020""]"
R008,40,Laboratory,"[""Computers"", ""Projector"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020""]"
R009,40,Seminar Room,"[""Smart Board""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020""]"
R010,60,Laboratory,"[""Computers"", ""Projector"", ""Whiteboard""]","[""TS001"", ""TS002"", ""TS003"", ""TS004"", ""TS005"", ""TS006"", ""TS007"", ""TS008"", ""TS009"", ""TS010"", ""TS011"", ""TS012"", ""TS013"", ""TS014"", ""TS015"", ""TS016"", ""TS017"", ""TS018"", ""TS019"", ""TS020""]"
