Course_ID,Course_Name,Student_Group,Number_of_Students,Lecturer_ID,Required_Room_Type,Required_Facilities,Duration
C001,Course 1,SG02,20,L007,Lecture Hall,"[""Projector""]",2
C002,Course 2,SG10,20,L004,Seminar Room,[],1
C003,Course 3,SG05,50,L002,Lecture Hall,"[""Projector""]",2
C004,Course 4,SG05,50,L008,Seminar Room,"[""Whiteboard""]",1
C005,Course 5,SG06,40,L006,Lecture Hall,"[""Projector""]",1
C006,Course 6,SG10,20,L011,Lecture Hall,"[""Projector""]",1
C007,Course 7,SG03,60,L008,Laboratory,"[""Computers""]",2
C008,Course 8,SG09,100,L004,Seminar Room,[],1
C009,Course 9,SG04,50,L001,Laboratory,"[""Computers""]",2
C010,Course 10,SG05,50,L002,Lecture Hall,"[""Projector""]",2
C011,Course 11,SG04,50,L011,Laboratory,"[""Computers""]",2
C012,Course 12,SG08,30,L003,Laboratory,"[""Computers""]",1
C013,Course 13,SG04,50,L012,Seminar Room,"[""Whiteboard""]",2
C014,Course 14,SG10,20,L007,Laboratory,"[""Computers""]",1
C015,Course 15,SG03,60,L009,Laboratory,"[""Computers""]",1
C016,Course 16,SG01,30,L002,Lecture Hall,"[""Projector""]",2
C017,Course 17,SG10,20,L002,Laboratory,"[""Computers""]",2
C018,Course 18,SG10,20,L008,Seminar Room,[],1
C019,Course 19,SG02,20,L011,Seminar Room,"[""Whiteboard""]",2
C020,Course 20,SG02,20,L005,Laboratory,"[""Computers""]",1
