Dataset,Metric,Mean,Median,Min,Max,StdDev
Small,fitness,-299929.12,-299929.01,-299929.55,-299929.01,0.24
Small,allocated_courses,17.00,17.00,17.00,17.00,0.00
Small,unallocated_courses,3.00,3.00,3.00,3.00,0.00
Small,classroom_conflicts,0.00,0.00,0.00,0.00,0.00
Small,lecturer_conflicts,0.00,0.00,0.00,0.00,0.00
Small,student_group_conflicts,0.00,0.00,0.00,0.00,0.00
Small,capacity_violations,0.00,0.00,0.00,0.00,0.00
Small,facility_violations,0.00,0.00,0.00,0.00,0.00
Small,room_type_violations,0.00,0.00,0.00,0.00,0.00
Small,availability_violations,0.00,0.00,0.00,0.00,0.00
Small,utilization,70.88,70.99,70.45,70.99,0.24
Small,execution_time,0.32,0.32,0.32,0.33,0.00
Small,total_conflicts,0.00,0.00,0.00,0.00,0.00
Medium,fitness,-1399938.90,-1399939.19,-1399940.79,-1399937.15,1.43
Medium,allocated_courses,36.00,36.00,36.00,36.00,0.00
Medium,unallocated_courses,14.00,14.00,14.00,14.00,0.00
Medium,classroom_conflicts,0.00,0.00,0.00,0.00,0.00
Medium,lecturer_conflicts,0.00,0.00,0.00,0.00,0.00
Medium,student_group_conflicts,0.00,0.00,0.00,0.00,0.00
Medium,capacity_violations,0.00,0.00,0.00,0.00,0.00
Medium,facility_violations,0.00,0.00,0.00,0.00,0.00
Medium,room_type_violations,0.00,0.00,0.00,0.00,0.00
Medium,availability_violations,0.00,0.00,0.00,0.00,0.00
Medium,utilization,61.10,60.81,59.21,62.85,1.43
Medium,execution_time,0.72,0.73,0.70,0.74,0.02
Medium,total_conflicts,0.00,0.00,0.00,0.00,0.00
Large,fitness,-4905931.13,-4909926.38,-4909935.48,-4899932.39,5474.98
Large,allocated_courses,51.00,51.00,51.00,51.00,0.00
Large,unallocated_courses,49.00,49.00,49.00,49.00,0.00
Large,classroom_conflicts,0.00,0.00,0.00,0.00,0.00
Large,lecturer_conflicts,0.20,0.00,0.00,1.00,0.45
Large,student_group_conflicts,0.40,0.00,0.00,1.00,0.55
Large,capacity_violations,0.00,0.00,0.00,0.00,0.00
Large,facility_violations,0.00,0.00,0.00,0.00,0.00
Large,room_type_violations,0.00,0.00,0.00,0.00,0.00
Large,availability_violations,0.00,0.00,0.00,0.00,0.00
Large,utilization,68.87,67.61,64.52,73.62,4.39
Large,execution_time,1.16,1.15,1.13,1.18,0.02
Large,total_conflicts,0.60,1.00,0.00,1.00,0.55
