Course_ID,Course_Name,Student_Group,Lecturer_ID,Classroom_ID,Time_Slot_ID,Number_of_Students,Classroom_Capacity,Required_Room_Type,Required_Facilities,Duration
C001,Course 1,SG10,L019,R006,TS001,40,60,Laboratory,"[""Computers""]",1
C002,Course 2,SG08,L014,R002,"TS001,TS002",40,120,Lecture Hall,[],2
C003,Course 3,SG06,L014,R006,"TS002,TS003",60,60,Laboratory,"[""Computers""]",2
C006,Course 6,SG04,L007,R002,TS003,40,120,Lecture Hall,"[""Projector""]",1
C007,Course 7,SG07,L006,R006,"TS005,TS006",50,60,Laboratory,"[""Computers""]",2
C008,Course 8,SG04,L003,R006,TS004,40,60,Laboratory,"[""Computers""]",1
C010,Course 10,SG04,L006,R006,"TS007,TS008",40,60,Laboratory,"[""Computers""]",2
C011,Course 11,SG08,L007,R006,TS009,40,60,Laboratory,"[""Computers""]",1
C012,Course 12,SG03,L013,R002,"TS005,TS006",60,120,Lecture Hall,"[""Projector""]",2
C013,Course 13,SG08,L010,R006,"TS010,TS011",40,60,Laboratory,"[""Computers""]",2
C014,Course 14,SG03,L007,R006,TS012,60,60,Laboratory,"[""Computers""]",1
C017,Course 17,SG01,L017,R002,TS004,120,120,Lecture Hall,"[""Projector""]",1
C019,Course 19,SG02,L019,R002,TS007,20,120,Lecture Hall,"[""Projector""]",1
C020,Course 20,SG10,L003,R006,"TS013,TS014",40,60,Laboratory,"[""Computers""]",2
C021,Course 21,SG05,L007,R001,TS001,30,30,Seminar Room,"[""Whiteboard""]",1
C022,Course 22,SG05,L013,R002,"TS009,TS010",30,120,Lecture Hall,"[""Projector""]",2
C023,Course 23,SG08,L011,R002,TS008,40,120,Lecture Hall,[],1
C024,Course 24,SG02,L018,R002,TS011,20,120,Lecture Hall,"[""Projector""]",1
C025,Course 25,SG06,L003,R002,TS012,60,120,Lecture Hall,"[""Projector""]",1
C028,Course 28,SG05,L004,R002,TS013,30,120,Lecture Hall,"[""Projector""]",1
C029,Course 29,SG05,L010,R001,"TS002,TS003",30,30,Seminar Room,[],2
C031,Course 31,SG05,L002,R002,"TS014,TS015",30,120,Lecture Hall,"[""Projector""]",2
C033,Course 33,SG05,L006,R001,"TS005,TS006",30,30,Seminar Room,[],2
C034,Course 34,SG09,L001,R002,TS016,80,120,Lecture Hall,[],1
C036,Course 36,SG07,L005,R002,TS017,50,120,Lecture Hall,"[""Projector""]",1
C038,Course 38,SG06,L018,R006,TS015,60,60,Laboratory,"[""Computers""]",1
C039,Course 39,SG04,L006,R002,TS018,40,120,Lecture Hall,"[""Projector""]",1
C040,Course 40,SG03,L011,R006,TS016,60,60,Laboratory,"[""Computers""]",1
C041,Course 41,SG05,L006,R001,TS004,30,30,Seminar Room,[],1
C042,Course 42,SG08,L008,R002,"TS019,TS020",40,120,Lecture Hall,"[""Projector""]",2
C043,Course 43,SG06,L010,R002,TS021,60,120,Lecture Hall,[],1
C044,Course 44,SG07,L011,R006,TS017,50,60,Laboratory,"[""Computers""]",1
C045,Course 45,SG05,L012,R001,"TS007,TS008",30,30,Seminar Room,"[""Whiteboard""]",2
C047,Course 47,SG10,L009,R002,"TS022,TS023",40,120,Lecture Hall,[],2
C048,Course 48,SG06,L011,R006,TS018,60,60,Laboratory,"[""Computers""]",1
C049,Course 49,SG07,L019,R003,"TS001,TS002",50,60,Lecture Hall,[],2
