dataset_size,algorithm,seed,total_courses,allocated_courses,unallocated_courses,classroom_conflicts,lecturer_conflicts,student_group_conflicts,capacity_violations,facility_violations,room_type_violations,availability_violations,utilization,fitness,execution_time
Small,Baseline,42 (Deterministic),20,17,3,0,5,3,0,0,0,0,70.99236641221374,,0.0004734992980957031
Small,GA,42,20,17,3,0,0,0,0,0,0,0,70.99236641221374,-299929.0076335878,0.3277723789215088
Small,GA,43,20,17,3,0,0,0,0,0,0,0,70.99236641221374,-299929.0076335878,0.3245370388031006
Small,GA,44,20,17,3,0,0,0,0,0,0,0,70.45454545454545,-299929.54545454547,0.3237183094024658
Small,GA,45,20,17,3,0,0,0,0,0,0,0,70.99236641221374,-299929.0076335878,0.32358551025390625
Small,GA,46,20,17,3,0,0,0,0,0,0,0,70.99236641221374,-299929.0076335878,0.32280850410461426
Medium,Baseline,42 (Deterministic),50,36,14,0,4,1,0,0,0,0,53.57142857142857,,0.0013840198516845703
Medium,GA,42,50,36,14,0,0,0,0,0,0,0,62.849162011173185,-1399937.1508379888,0.7250955104827881
Medium,GA,43,50,36,14,0,0,0,0,0,0,0,59.210526315789465,-1399940.7894736843,0.7380070686340332
Medium,GA,44,50,36,14,0,0,0,0,0,0,0,62.15469613259669,-1399937.8453038675,0.7137715816497803
Medium,GA,45,50,36,14,0,0,0,0,0,0,0,60.483870967741936,-1399939.5161290322,0.6994516849517822
Medium,GA,46,50,36,14,0,0,0,0,0,0,0,60.810810810810814,-1399939.189189189,0.7384085655212402
Large,Baseline,42 (Deterministic),100,51,49,0,0,7,0,0,0,0,63.24110671936759,,0.004412651062011719
Large,GA,42,100,51,49,0,0,1,0,0,0,0,73.61963190184049,-4909926.380368099,1.18446946144104
Large,GA,43,100,51,49,0,1,0,0,0,0,0,73.39449541284404,-4909926.605504587,1.1755032539367676
Large,GA,44,100,51,49,0,0,0,0,0,0,0,65.21739130434783,-4899934.782608695,1.1411397457122803
Large,GA,45,100,51,49,0,0,1,0,0,0,0,64.51612903225806,-4909935.483870967,1.1476213932037354
Large,GA,46,100,51,49,0,0,0,0,0,0,0,67.6056338028169,-4899932.394366197,1.1293010711669922
